"trip_id","H","S","D"
1681,14:48:00,,
1681,15:02:00,,
1681,15:20:00,,
1681,15:42:00,,
1681,16:01:00,,
1681,16:20:00,,
1681,16:39:00,,
1681,16:58:00,,
1681,17:17:00,,
1681,17:36:00,,
1681,17:55:00,,
1681,18:14:00,,
1681,18:33:00,,
1681,18:52:00,,
1681,19:11:00,,
1681,19:26:00,,
1681,19:52:00,,
1681,20:18:00,,
1681,20:44:00,,
1681,21:36:00,,
1855,06:00:00,07:00:00,08:00:00
1855,06:18:00,07:43:00,08:42:00
1855,06:36:00,08:25:00,09:25:00
1855,06:54:00,09:08:00,10:07:00
1855,07:12:00,09:50:00,10:50:00
1855,07:25:00,10:33:00,11:32:00
1855,07:48:00,11:15:00,12:15:00
1855,08:06:00,11:58:00,12:57:00
1855,08:24:00,12:40:00,14:30:00
1855,08:42:00,13:22:00,15:13:00
1855,09:00:00,14:05:00,15:55:00
1855,09:18:00,14:50:00,16:38:00
1855,09:36:00,15:35:00,17:20:00
1855,09:54:00,16:20:00,18:03:00
1855,10:12:00,17:05:00,18:45:00
1855,10:30:00,17:50:00,19:28:00
1855,10:48:00,18:35:00,
1855,11:06:00,19:20:00,
1855,11:24:00,20:05:00,
1855,11:42:00,20:50:00,
1855,12:00:00,,
1855,12:18:00,,
1855,12:36:00,,
1855,12:54:00,,
1855,13:12:00,,
1855,13:32:00,,
1855,13:52:00,,
1855,14:11:00,,
1855,14:31:00,,
1855,14:50:00,,
1855,15:08:00,,
1855,15:26:00,,
1855,15:44:00,,
1855,16:02:00,,
1855,16:20:00,,
1855,16:38:00,,
1855,16:56:00,,
1855,17:14:00,,
1855,17:32:00,,
1855,17:50:00,,
1855,18:08:00,,
1855,18:26:00,,
1855,18:44:00,,
1855,19:02:00,,
1855,19:20:00,,
1855,19:38:00,,
1855,19:56:00,,
1855,20:14:00,,
1855,20:32:00,,
1855,20:50:00,,
