"ID-recorrido","id-linea","nombre-linea","ida-vuelta","activo","route-trip","codigo-de-sub-ramal","descripcion","destino"
2573,3563,"G-05-052A",0,1,52115,52115,"052A MUN-SLNZO-C.GOB","NULL"
2576,3563,"G-05-052A",1,1,52116,52116,"052A MUN-SLNZO-C.GOB","NULL"
2577,3563,"G-05-052A",0,1,52116,52116,"052A MUN-SLNZO-C.GOB","NULL"
2578,3564,"G-05-052B",1,1,52117,52117,"052B MUN-S.LNZO-MUN","NULL"
2579,3564,"G-05-052B",0,1,52117,52117,"052B MUN-S.LNZO-MUN","NULL"
2580,3564,"G-05-052B",1,1,52118,52118,"052B MUN-S.LNZO-MUN","NULL"
2581,3564,"G-05-052B",0,1,52118,52118,"052B MUN-S.LNZO-MUN","NULL"
2582,3564,"G-05-052B",1,1,52119,52119,"052B MUN-S.LNZO-MUN","NULL"
2583,3564,"G-05-052B",0,1,52119,52119,"052B MUN-S.LNZO-MUN","NULL"
2584,3565,"G-05-052C",1,1,52120,52120,"052C S.LNZO-H.L-UNC","NULL"
2585,3565,"G-05-052C",0,1,52120,52120,"052C S.LNZO-H.L-UNC","NULL"
2395,3565,"G-05-052C",1,1,52121,52121,"052C S.LNZO-H.L-UNC","NULL"
2396,3565,"G-05-052C",0,1,52121,52121,"052C S.LNZO-H.L-UNC","NULL"
2587,3565,"G-05-052C",1,1,52122,52122,"052C S.LNZO-H.L-UNC","NULL"
2815,3565,"G-05-052C",0,1,52122,52122,"052C S.LNZO-H.L-UNC","NULL"
2400,3566,"G-05-052D",0,1,52123,52123,"052D S.LNZO-UNC-LIC","NULL"
2609,3566,"G-05-052D",1,1,52123,52123,"052D S.LNZO-UNC-LIC","NULL"
2589,3567,"G-05-053A",1,1,53124,53124,"053A MUN-BELGR-C.GOB","NULL"
2590,3567,"G-05-053A",0,1,53124,53124,"053A MUN-BELGR-C.GOB","NULL"
2403,3567,"G-05-053A",1,1,53125,53125,"053A MUN-BELGR-C.GOB","NULL"
2591,3567,"G-05-053A",0,1,53125,53125,"053A MUN-BELGR-C.GOB","NULL"
2592,3567,"G-05-053A",1,1,53126,53126,"053A MUN-BELGR-C.GOB","NULL"
2593,3567,"G-05-053A",0,1,53126,53126,"053A MUN-BELGR-C.GOB","NULL"
2408,3568,"G-05-053B",0,1,53127,53127,"053B MUN-BELGRANO","NULL"
2588,3568,"G-05-053B",1,1,53127,53127,"053B MUN-BELGRANO","NULL"
2594,3568,"G-05-053B",1,1,53128,53128,"053B MUN-BELGRANO","NULL"
2595,3568,"G-05-053B",0,1,53128,53128,"053B MUN-BELGRANO","NULL"
2596,3568,"G-05-053B",1,1,53129,53129,"053B MUN-BELGRANO","NULL"
2597,3568,"G-05-053B",0,1,53129,53129,"053B MUN-BELGRANO","NULL"
2598,3569,"G-05-053C",1,1,53130,53130,"053C BELGNO-H.L-UNC","NULL"
2599,3569,"G-05-053C",0,1,53130,53130,"053C BELGNO-H.L-UNC","NULL"
