"stop_id","stop_name","cliente","tipo","calle","numero","entre","EsCartelInt","Activo","stop_lat","stop_lon"
"M5555","34610","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"SIN NOMBRE","No","Si",-33.046546731,-68.9296224868
"M5556","34611","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"SIN NOMBRE","No","Si",-33.048394816,-68.9358539289
"M5557","34612","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"SIN NOMBRE","No","Si",-33.0537679817,-68.9384979165
"M5558","34613","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"SIN NOMBRE","No","Si",-33.0605615318,-68.9396760768
"M5559","34614","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"SIN NOMBRE","No","Si",-33.0535066376,-68.938473106
"M5560","34615","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"SIN NOMBRE","No","Si",-33.0607177638,-68.9396827823
"M5561","34616","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"SIN NOMBRE","No","Si",-33.0681075577,-68.9409588432
"M5562","34617","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"SIN NOMBRE","No","Si",-33.0680856421,-68.9409360445
"M5563","34618","Sec.Trans. Mendoza","Poste","Brandsen",,"SIN NOMBRE","No","Si",-33.0737222622,-68.9722783273
"M5564","34619","Sec.Trans. Mendoza","Poste","Brandsen",,"SIN NOMBRE","No","Si",-33.0741509924,-68.9721723801
"M5565","34620","Sec.Trans. Mendoza","Poste","Acceso Parque Industrial",,"SIN NOMBRE","No","Si",-33.0717994123,-68.985369519
"M5566","34621","Sec.Trans. Mendoza","Poste","Acceso Parque Industrial",,"SIN NOMBRE","No","Si",-33.0709048402,-68.9858362234
"M5567","34622","Sec.Trans. Mendoza","Poste","Ruta Nacional 7",,"SIN NOMBRE","No","Si",-33.0740402982,-68.9758530414
"M5568","34623","Sec.Trans. Mendoza","Poste","Ruta Nacional 7",,"SIN NOMBRE","No","Si",-33.0748808966,-68.9764753139
"M5569","34624","Sec.Trans. Mendoza","Poste","Ruta Nacional 7",,"SIN NOMBRE","No","Si",-33.0652674776,-68.9845729029
"M5570","34625","Sec.Trans. Mendoza","Poste","Ruta Nacional 7",,"SIN NOMBRE","No","Si",-33.0648606205,-68.9849323189
"M5571","34626","Sec.Trans. Mendoza","Poste","Ruta Nacional 7",,"SIN NOMBRE","No","Si",-33.0745505019,-68.9817860878
"M5572","34627","Sec.Trans. Mendoza","Poste","Ruta Nacional 7",,"SIN NOMBRE","No","Si",-33.0748966297,-68.9818719184
"M5573","34628","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"SIN NOMBRE","No","Si",-33.0381306669,-68.9484573654
"M5574","34628","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"SIN NOMBRE","No","Si",-33.0384800152,-68.9455232924
"M5575","34629","Sec.Trans. Mendoza","Poste","Ruta Provincial 82",,"SIN NOMBRE","No","Si",-33.0373681209,-68.9546837068
"M5576","34629","Sec.Trans. Mendoza","Poste","Ruta Provincial 82",,"SIN NOMBRE","No","Si",-33.0365490877,-68.9596900499
"M5577","34630","Sec.Trans. Mendoza","Poste","Ruta Provincial 82",,"SIN NOMBRE","No","Si",-33.037397914,-68.953942076
"M5578","34631","Sec.Trans. Mendoza","Poste","Ruta Provincial 82",,"SIN NOMBRE","No","Si",-33.0359116194,-68.9695042527
"M5579","34632","Sec.Trans. Mendoza","Poste","Ruta Provincial 82",,"SIN NOMBRE","No","Si",-33.0358497836,-68.9733170128
"M5580","34633","Sec.Trans. Mendoza","Poste","Ruta Provincial 82",,"SIN NOMBRE","No","Si",-33.0368717551,-68.9740378565
"M5581","34634","Sec.Trans. Mendoza","Poste","Ruta Provincial 82",,"SIN NOMBRE","No","Si",-33.0385750146,-68.9811115122
"M5582","34635","Sec.Trans. Mendoza","Poste","Ruta Provincial 82",,"SIN NOMBRE","No","Si",-33.0373490084,-68.9750664836
"M5583","34636","Sec.Trans. Mendoza","Poste","Ruta Provincial 82",,"SIN NOMBRE","No","Si",-33.0374698671,-68.9835617101
"M5584","34637","Sec.Trans. Mendoza","Poste","Ruta Provincial 82",,"SIN NOMBRE","No","Si",-33.0370162243,-68.978529886
"M5585","34635","Sec.Trans. Mendoza","Poste","Ruta Provincial 82",,"SIN NOMBRE","No","Si",-33.0366974924,-68.9603029346
"M5586","34638","Sec.Trans. Mendoza","Poste","Calle 3 - Parque Petroqímico",,"Pública","No","Si",-33.0603795948,-69.0022249368
"M5587","34639","Sec.Trans. Mendoza","Poste","Calle 3 - Parque Petroquímico",,"Calle Publica","No","Si",-33.0588697854,-68.9942017384
"M5588","34640","Sec.Trans. Mendoza","Poste","Ruta Provincial 82",,"Calle Publica","No","Si",-33.0591597753,-68.9897009917
"M5589","34641","Sec.Trans. Mendoza","Poste","Calle 3 - Parque Petroquímico",,"Calle Publica","No","Si",-33.0594362765,-68.9895078727
"M5590","34642","Sec.Trans. Mendoza","Poste","Calle 3 - Parque Petroquímico",,"Calle Publica","No","Si",-33.0590586162,-68.9961222001
"M5600","27349","Sec.Trans. Mendoza","Poste","Carril Rodríguez Pena",,"Maza","No","Si",-32.9364347161,-68.7784741504
"M5601","27350","Sec.Trans. Mendoza","Poste","Carril Rodríguez Pena",,"Maza","No","Si",-32.9360359472,-68.781164537
"M5602","27351","Sec.Trans. Mendoza","Poste","Carril Rodríguez Pena",,"Jesus Nazareno","No","Si",-32.9340663031,-68.7892898407
"M5603","27352","Sec.Trans. Mendoza","Poste","Carril Rodríguez Pena",,"Urquiza","No","Si",-32.9324212194,-68.7964985937
"M5605","28434","Sec.Trans. Mendoza","Poste","Soberanía Nacional",,"Maza","No","Si",-32.9563017086,-68.7888872278
"M5606","34550","Sec.Trans. Mendoza","Poste","Azcuénaga",501,"Donado","No","Si",-33.0365580325,-68.8736101781
"M5607","34551","Sec.Trans. Mendoza","Poste","Azcuénaga",801,"Bufano","No","Si",-33.0364954638,-68.8697664561
