trip_id,id,nombre,codigo,descripcion,destino,ida-vuelta,activo,trip_headsign
2648,3366,G-04-041,41114,041-Foec.Dir.Ctro.,041 - Foecyt - Sarmiento por San Martín - Estanzuela por Plaza de Godoy Cruz - B  Ruiseñor,1,1,CENTRO
2649,3366,G-04-041,41114,041-Foec.xPza.Ctro,041 - Foecyt - Sarmiento por San Martín - Estanzuela por Plaza de Godoy Cruz - B  Ruiseñor,0,1,CONTROL TRAPICHE
2650,3367,G-04-042,42121,042-B.FuchsXPza.Ctro,042 - B  Fuchs por Plaza de Gody Cruz,1,1,CENTRO
2651,3367,G-04-042,42121,042-B.FuchsXPza.Ctro,042 - B  Fuchs por Plaza de Godoy Cruz,0,1,CONTROL TRAPICHE
2652,3368,G-04-043,43131,043-Palmares.Centro,043 - Palmares x Italia - Centro - Palmares,1,1,CENTRO
2653,3368,G-04-043,43131,043-Palmares.Centro,043 - Palmares x Italia - Centro - Palmares,0,1,CONTROL TRAPICHE
2654,3369,G-04-044,44141,044-ExpresoXP.Andes,044 - Expreso por Paso de Los Andes,1,1,CENTRO
2656,3369,G-04-044,44141,044-ExpresoXP.Andes,044 - Expreso por Paso de Los Andes,0,1,CONTROL TRAPICHE
2657,3370,G-04-045,45151,045-Est.Directo.Ctro,045 - B  La Estanzuela por Plaza de Godoy Cruz - Centro - FoecYt,1,1,CENTRO
2658,3370,G-04-045,45151,045-Est.Directo.Ctro,045 - B  La Estanzuela por Plaza de Godoy Cruz - Centro - FoecYt,0,1,Bº FOECYT
2659,3370,G-04-045,45152,045-Est-CtroDir/Ruis,045 - Estanzuela Directo - Centro - FoecYt,1,1,CENTRO
2661,3370,G-04-045,45152,045-EstCtro Dir/Ruis,045 - Estanzuela Directo - Centro - FoecYt,0,1,Bº FOECYT
2662,3370,G-04-045,45154,045-EstCtroDir/Ruis ,045 - B  Ruiseñor - Estanzuela por San Martin - FOECyT,1,1,CENTRO
2663,3370,G-04-045,45154,045-EstCtro DirRuis,045 - B  Ruiseñor - Estanzuela por San Martin - FOECyT,0,1,Bº FOECyT
2664,3371,G-04-046,46161,046-Mosc.Bombal.Ctro,046 - Mosconi - Bombal - Centro - Mosconi,1,1,CENTRO
2666,3371,G-04-046,46161,046-Ctro.Bombal.Mosc,046 - Mosconi - Bombal - Centro - Mosconi,0,1,CONTROL TRAPICHE
2667,3371,G-04-046,46162,046-Mosc.Bombal.Ctro,046 - Expreso Mosconi por Paso de Los Andes,1,1,CENTRO
2668,3371,G-04-046,46162,046-Mosc.Bombal.Ctro,046 - Mosconi Expreso por Paso de Los Andes,0,1,CONTROL TRAPICHE
3159,3372,G-04-047,47171,047-Vinculacion O-E,047 - Servicio Vinculacion Oeste - Este,1,1,ESC. ALVAREZ CONDARCO
3161,3372,G-04-047,47171,047-Vinculacion O-E,047 - Servicio Vinculacion Oeste - Este,0,1,B. FOECyT
2363,3561,G-05-051A,51111,051A S.ANA-PQUE,SANTA ANA - PARQUE SAN MARTIN,1,1,PARQUE
2364,3561,G-05-051A,51111,051A S.ANA-PQUE,NULL,0,1,STA ANA
2366,3561,G-05-051A,51112,051A S.ANA-PQUE,NULL,1,1,UNC
2554,3561,G-05-051A,51112,051A S.ANA-PQUE,NULL,0,1,STA ANA
2380,3561,G-05-051A,51113,051A S.ANA-PQUE,NULL,0,1,STA ANA
2560,3561,G-05-051A,51113,051A S.ANA-PQUE,NULL,1,1,LICEO
2867,3562,G-05-051B,51191,051B S.ANA-SHOP-PQUE,NULL,1,1,PARQUE
2868,3562,G-05-051B,51191,051B S.ANA-SHOP-PQUE,NULL,0,1,S.ANA
2865,3562,G-05-051B,51192,051B S.ANA-SHOP-PQUE,NULL,1,1,UNC
2866,3562,G-05-051B,51192,051B S.ANA-SHOP-PQUE,NULL,0,1,S.ANA
2381,3563,G-05-052A,52114,052A MUN-SLNZO-C.GOB,NULL,1,1,CENTRO
2382,3563,G-05-052A,52114,052A MUN-SLNZO-C.GOB,NULL,0,1,S.LORENZO
2571,3563,G-05-052A,52115,052A MUN-SLNZO-C.GOB,NULL,1,1,C.GOB
2573,3563,G-05-052A,52115,052A MUN-SLNZO-C.GOB,NULL,0,1,CONTROL VN
2576,3563,G-05-052A,52116,052A MUN-SLNZO-C.GOB,NULL,1,1,CENTRO
2577,3563,G-05-052A,52116,052A MUN-SLNZO-C.GOB,NULL,0,1,CONTROL VN
2578,3564,G-05-052B,52117,052B MUN-S.LNZO-MUN,NULL,1,1,CENTRO
2579,3564,G-05-052B,52117,052B MUN-S.LNZO-MUN,NULL,0,1,CONTROL VN
2580,3564,G-05-052B,52118,052B MUN-S.LNZO-MUN,NULL,1,1,CENTRO
2581,3564,G-05-052B,52118,052B MUN-S.LNZO-MUN,NULL,0,1,MUNICIPALIDAD
2582,3564,G-05-052B,52119,052B MUN-S.LNZO-MUN,NULL,1,1,CENTRO
2583,3564,G-05-052B,52119,052B MUN-S.LNZO-MUN,NULL,0,1,CONTROL VN
2584,3565,G-05-052C,52120,052C S.LNZO-H.L-UNC,NULL,1,1,CENTRO
2585,3565,G-05-052C,52120,052C S.LNZO-H.L-UNC,NULL,0,1,MUNICIPALIDAD
2395,3565,G-05-052C,52121,052C S.LNZO-H.L-UNC,NULL,1,1,PARQUE
2396,3565,G-05-052C,52121,052C S.LNZO-H.L-UNC,NULL,0,1,MUNICIPALIDAD
2587,3565,G-05-052C,52122,052C S.LNZO-H.L-UNC,NULL,1,1,UNC
2815,3565,G-05-052C,52122,052C S.LNZO-H.L-UNC,NULL,0,1,MUNICIPALIDAD
2400,3566,G-05-052D,52123,052D S.LNZO-UNC-LIC,NULL,0,1,MUNICIPALIDAD
2609,3566,G-05-052D,52123,052D S.LNZO-UNC-LIC,NULL,1,1,LICEO
2589,3567,G-05-053A,53124,053A MUN-BELGR-C.GOB,NULL,1,1,CENTRO
2590,3567,G-05-053A,53124,053A MUN-BELGR-C.GOB,NULL,0,1,CONTROL VN
2403,3567,G-05-053A,53125,053A MUN-BELGR-C.GOB,NULL,1,1,CENTRO
2591,3567,G-05-053A,53125,053A MUN-BELGR-C.GOB,NULL,0,1,MUNICIPALIDAD
2592,3567,G-05-053A,53126,053A MUN-BELGR-C.GOB,NULL,1,1,CENTRO
2593,3567,G-05-053A,53126,053A MUN-BELGR-C.GOB,NULL,0,1,CONTROL VN
2408,3568,G-05-053B,53127,053B MUN-BELGRANO,NULL,0,1,CONTROL VN
2588,3568,G-05-053B,53127,053B MUN-BELGRANO,NULL,1,1,CENTRO
2594,3568,G-05-053B,53128,053B MUN-BELGRANO,NULL,1,1,CENTRO
2595,3568,G-05-053B,53128,053B MUN-BELGRANO,NULL,0,1,MUNICIPALIDAD
2596,3568,G-05-053B,53129,053B MUN-BELGRANO,NULL,1,1,CENTRO
