stop_id,stop_code,stop_desc,stop_name,stop_lat,stop_lon,stop_calle,stop_numero,stop_entre,stop_esquina
8489,M8489,,Ruta Provincial 15,-33.1236905267,-68.8894636265,Ruta Provincial 15,,Agrelo,
8490,M8490,,Ruta Provincial 15,-33.1254291696,-68.8895172706,Ruta Provincial 15,,Agrelo,
8491,M8491,,Ruta Provincial 15,-33.1271161145,-68.8898015848,Ruta Provincial 15,,Ruta 15 ,
8492,M8492,,Ruta Provincial 15,-33.1289135463,-68.8899823343,Ruta Provincial 15,,Agrelo,
8493,M8493,,Ruta Provincial 15,-33.1307194703,-68.8900628006,Ruta Provincial 15,,Ruta 15 ,
8494,M8494,,Ruta Provincial 15,-33.1326843748,-68.8902468315,Ruta Provincial 15,,Ruta 15 ,
8495,M8495,,Ruta Provincial 15,-33.1358225772,-68.8904597675,Ruta Provincial 15,,Ruta 15 ,
8580,M8580,,El Remanso,-33.2251838886,-68.8548811344,El Remanso,,El Remanso,
8496,M8496,,Ruta Provincial 15,-33.139968633,-68.8908728277,Ruta Provincial 15,,Calle Funes,
8497,M8497,,Calle Funes,-33.1405211262,-68.8959690248,Calle Funes,,Ruta 15 ,
8498,M8498,,Calle Funes,-33.1409388626,-68.9008640563,Calle Funes,,Cochabamba,
8499,M8499,,Calle Funes,-33.1412308278,-68.9043106948,Calle Funes,,Calle Funes,
8500,M8500,,Calle Funes,-33.1417069535,-68.909406892,Calle Funes,,Calle Funes,
8501,M8501,,Calle Funes,-33.1420573085,-68.9135374939,Calle Funes,,Cobos,
8502,M8502,,Calle Funes,-33.1422190103,-68.9154364978,Calle Funes,,Cobos,
