"stop_lat","stop_entre","stop_lon","stop_numero","stop_calle","stop_id","stop_name"
-32.9709419652,"PALAEZ",-68.7940423481,"1499","CIRCUNVALACION","M2785","29919"
-32.9710038466,"PALAEZ",-68.794053077,"","CIRCUNVALACION","M2786","29920"
-32.9698731483,"J.B.MARTINEZ",-68.7938481204,"","Martínez B.","M2787","29921"
-32.9765787522,"E. CIVIT",-68.7954024083,"501","Maza JA","M2788","29701"
-32.9789148186,"BARCALA",-68.7876068478,"501","Vázquez","M2789","29702"
-32.981607685,"MITRE",-68.7868297898,"402","Pescara","M2790","29703"
-32.9813102551,"PADRE VAZQUEZ",-68.7883039222,"102","Mitre","M2791","29704"
-32.9808326892,"RIVADAVIA",-68.7898330963,"402","Ozamis JA","M2792","29705"
-32.98137843,"MITRE",-68.7883387729,"301","Vázquez","M2793","29706"
-32.9828738402,"PERON",-68.7871885352,"302","Pescara","M2794","29707"
-32.9825766576,"P. VAZQUEZ",-68.7885782275,"102","Pres. Juan Domingo Perón","M2795","29708"
-32.9840623557,"SAN MARTIN",-68.7875358813,"202","Pescara","M2796","29709"
-32.9861013005,"T. SOSA",-68.7881273084,"2","Pescara","M2797","29710"
-32.985124461,"SARMIENTO",-68.7894000778,"1","Vázquez","M2798","29711"
-32.9837365111,"PADRE VAZQUEZ",-68.7896489002,"1","San Martín","M2799","29712"
-32.9831529489,"BELGRANO",-68.7905485756,"202","Ozamis JA","M2800","29713"
-32.9819817437,"20 DE JUNIO",-68.7916897458,"1","60 Granaderos","M2801","29714"
-32.9814136298,"PADRE VERA",-68.7944530916,"201","60 Granaderos","M2802","29715"
-32.9808786993,"MAZA",-68.7970018607,"501","60 Granaderos","M2803","29716"
-32.9789616596,"Godoy a.",-68.7962642133,"401","Maza JA","M2804","29717"
-32.9793447602,"BARCALA",-68.7861438148,"401","Pescara","M2805","29601"
-32.9806423868,"ROSELLO",-68.7818010395,"451","Barcala Cnel.","M2806","29602"
-32.9813755233,"BARCALA",-68.7833835965,"401","Godoy Cruz T.","M2807","29603"
-32.981781641,"MITRE",-68.783730272,"401","Godoy Cruz T.","M2808","29604"
-32.9816442469,"MITRE",-68.7868304603,"301","Pescara","M2809","29605"
-32.9829977446,"MITRE",-68.7853335795,"302","Pres. Juan Domingo Perón","M2810","29606"
-32.9831920124,"P. ARGENTINAS",-68.7855164859,"302","Pres. Juan Domingo Perón","M2811","29607"
-32.9833627821,"PERON",-68.7842419034,"302","Godoy Cruz T.","M2812","29608"
-32.9834327533,"Godoy Cruz T.",-68.7840245071,"402","Pres. Juan Domingo Perón","M2813","29609"
