"route_id","route_short_name","route_type","route_desc"
"173","173","Bus","173 R.CRUZ MZA"
"173","173","Bus","173 R.PEÑA COQ.MPU"
"173","173","Bus","173 R.PEÑA COQ.MPU"
"174","174","Bus","174TSOSA MZA P.GCRUZ"
"174","174","Bus","174MZA P.GCRUZ TSOSA"
"174","174","Bus","174 T.SOSA MZA COST."
"174","174","Bus","174MZA P.GCRUZ TSOSA"
"174","174","Bus","174R.ESC.MZA P.GCRUZ"
"174","174","Bus","174MZA TSOSA P.GCRUZ"
"174","174","Bus","174 C.BARRO MZ GCRUZ"
"174","174","Bus","174 MZ P.GCRUZ TSOSA"
"174","174","Bus","174 CBARROS MZA COST"
"174","174","Bus","174 MZ P.GCRUZ TSOSA"
"174","174","Bus","174T.S.MALC.MZ GCRUZ"
"174","174","Bus","174MZ GCRUZ MALC.T.S"
"174","174","Bus","174 TSOSA Z.IND.MZA"
"174","174","Bus","1743ESQ.T.S.MALC.MZA"
"174","174","Bus","174MZA G.CRUZ T.SOSA"
"174","174","Bus","174MZA GCRUZ T.SOSA"
"174","174","Bus","174MZA GCRUZ MPU T.S"
"174","174","Bus","174 TSOSA MPU.GC.MZ"
"174","174","Bus","174MZ MPU.TSOSA.3ESQ"
"174","174","Bus","174 TSOS.BJAZM.GC.MZ"
"174","174","Bus","174MZA MPU.JAZM.TSOS"
"174","174","Bus","174CHACH.MPU.MZA"
"175","175","Bus","175 MAIPU-LUJAN"
"175","175","Bus","175 LUJAN-MAIPU"
"175","175","Bus","175 MPU LUJAN SUP "
"175","175","Bus","175 LUJAN MAIPU"
"175","175","Bus","175 LUJAN MAIPU MZA"
"175","175","Bus","175 MZA MAIP LUJ"
"175","175","Bus","175 MZA MAIP.LUJ.SUP"
"175","175","Bus","175 LUJ.MAIP.SUP MZA"
"175","175","Bus","175 MAIP.REC.LUJAN"
"175","175","Bus","175 LUJAN REC.MAIPU"
"181","181","Bus","181MZA MPU.PMOL.CAGR"
"181","181","Bus","181C.AGR.SUP.MPU.MZA"
"181","181","Bus","181MZA MPU.SUP.CAGR"
"181","181","Bus","181C.AGR.SUP.MPU.MZA"
"181","181","Bus","181MZA MPU.SUP.CAGR."
"181","181","Bus","181C.AGR.P.MOL.MPU"
"181","181","Bus","181MZA.MPU.SUP.C.AGR"
"181","181","Bus","181C.AGR.SUP.MPU.MZA"
"181","181","Bus","181 MPU.SUP.C.AGR"
"181","181","Bus","181C.AGR.SUP.MPU.MZA"
"181","181","Bus","181 MZA MAIP.P.MOL."
"181","181","Bus","181MZA MPUSUP.C.AGR."
"181","181","Bus","181P.MOL.MPU MZA"
"181","181","Bus","MAIPU MENDOZA "
"182","182","Bus","182 V.CAST.MAIPU"
"182","182","Bus","182Mpu.Ba.Canc.VCast"
"182","182","Bus","182 Mpu.Canc.V.C.Esc"
"182","182","Bus","182 V.CAST.MAIPU"
"182","182","Bus","182MPU.V.CAST.CANC."
"182","182","Bus","182V.CASTILLO MAIPU"
"182","182","Bus","182MPU.V.C.CANC.ESC."
"182","182","Bus","182V.CASTILLO MAIPU"
"182","182","Bus","182MAIPU V.CAST.MZA"
"182","182","Bus","182MAIPU V.CAST.MZA"
"182","182","Bus","182 3ESQ.SUP.MPU.MZA"
